,ID,縣市,鄉鎮市區,路名,土地面積,使用分區,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,橫坐標,縱坐標,備註,主建物面積,陽台面積,附屬建物面積,lat,lng,鄰近ATM統計,鄰近便利商店統計,鄰近公車站點統計,鄰近國中統計,鄰近國小統計,鄰近大學統計,鄰近捷運站點統計,鄰近火車站點統計,鄰近腳踏車站點統計,鄰近郵局據點統計,鄰近醫療機構統計,鄰近金融機構統計,鄰近高中統計
0,PU-1,新北市,樹林區,大有路,2.0393784158445825,,3,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),13.916666666666666,0.4722017779864632,0.1461762930847089,1.0,288745,2760266,,0.8496638427134873,0.1461606792844003,-0.4384519028208025,24.94974526535474,121.3836841264234,27,22,340,3,2,0,0,0,15,1,24,5,1
1,PU-2,新北市,三重區,力行路一段,-0.0777861276769849,,5,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),40.833333333333336,-0.5464545001161122,-0.8193256863726953,0.0,298751,2773492,,-0.0041021165165111,0.0642566584481619,-0.4384519028208025,25.06886211468843,121.48323609074608,95,72,450,4,8,0,1,0,47,3,83,15,3
2,PU-3,新北市,板橋區,民生路三段,-0.555765608691798,,2,20,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),1.3333333333333333,0.1240316118668014,-0.167418749843056,1.0,297000,2769106,,-0.2858618565407251,-0.7752595551232808,1.3230424838007822,25.029320682214884,121.46573043507982,112,82,288,3,1,7,3,0,55,2,160,25,0
3,PU-4,新北市,泰山區,明志路二段,-0.7448376409295061,,6,16,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),27.5,-0.0270719420762203,0.115280229742072,1.0,293076,2771160,,0.0275817096709508,0.3167940560265634,-0.1395316432728971,25.04798111545033,121.42691197288175,27,20,178,1,2,5,0,0,10,3,22,6,0
4,PU-5,台北市,信義區,忠孝東路五段,-0.6109226334770453,,3,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),40.5,-0.8635996019280814,-0.8193256863726953,0.0,308103,2770220,,-0.8833282932185769,-0.5602615004281553,-0.0754773019412033,25.038992300026056,121.57579479637374,141,75,581,2,7,0,3,0,40,4,189,59,4
5,PU-6,新北市,三重區,溪尾街,0.5490572363530009,,5,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),35.0,-0.3936273314893298,-0.8193256863726953,0.0,299276,2775194,,0.2643617321611787,-0.056893039038774,-0.4384519028208025,25.084210673650563,121.48850087948975,90,68,608,3,2,0,2,0,42,2,104,20,2
6,PU-7,新北市,泰山區,明志路二段,-0.6959533758257184,,8,14,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),3.75,-0.511982206440898,0.7996280327814802,1.0,293078,2771217,,-0.75008648844809,-0.8742269136337354,0.3686327979585416,25.0484956586125,121.426933575941,26,19,198,1,2,5,0,0,10,3,24,4,0
7,PU-8,新北市,泰山區,仁義路,-0.7807197489924143,,3,13,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),17.75,-0.1144017527200955,0.3145598383020802,1.0,293716,2771834,,-0.1942050736412821,-0.2121694118741422,0.1529831821418385,25.054047666022807,121.4332760473748,29,22,498,1,3,0,1,0,15,2,38,5,1
8,PU-9,桃園市,蘆竹區,中山路,-0.2272748833041037,,14,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),22.75,1.2242723183340505,0.8382481119597762,1.0,280095,2772017,,1.6324240843269413,0.9669072214142048,-0.3018026413131885,25.05603228209475,121.29828197587591,30,25,168,1,2,0,0,0,9,1,36,2,1
9,PU-10,新北市,新莊區,幸福路,0.2198455041053685,,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),41.333333333333336,-0.6309116196203864,-0.8193256863726953,0.0,295761,2771317,,0.0001412530621669,-0.7889102252626539,-0.4384519028208025,25.049319664728348,121.4535266948185,109,83,602,1,8,0,1,0,46,4,173,30,0
10,PU-11,新北市,鶯歌區,光復街,0.6320691594938479,,3,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),24.916666666666668,-0.2402256246346273,-0.8193256863726953,0.0,285415,2761046,,0.1693102535987932,0.2877863819803957,-0.2868566283357935,24.956868591194997,121.3507282478029,28,20,175,1,5,0,0,1,19,1,37,4,0
11,PU-12,台北市,松山區,民生東路五段,3.164701889273614,,3,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),51.75,-0.102336449933771,-0.8193256863726953,0.0,306463,2772234,,1.001576473630157,-1.6420771089734696,-0.4384519028208025,25.057236560692136,121.5596257180999,139,78,592,7,7,0,3,0,37,4,159,45,3
12,PU-13,高雄市,岡山區,岡山路,0.9567625820858696,,4,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),15.833333333333334,1.0421437000833358,-0.8193256863726953,0.0,177658,2521171,,0.5331084721441138,0.6597671432783114,-0.4384519028208025,22.789721672670957,120.29540817206168,41,19,197,2,3,0,0,1,17,2,91,21,1
13,PU-14,新北市,三重區,仁化街,-0.5329096912317677,,2,4,其他,鋼筋混凝土造,公寓(5樓含以下無電梯),41.583333333333336,-1.5507473225206818,-0.8193256863726953,0.0,299695,2772475,,-1.4708935342128469,-0.9475992656328656,-0.4384519028208025,25.059649918654326,121.49255634871267,145,96,570,2,7,0,3,0,39,2,153,39,1
14,PU-15,台中市,北屯區,軍福十五路,-0.5462723517026162,,10,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),3.5,-0.1184235203155372,1.46852780414957,2.0,222011,2674321,,-0.3121707479285284,-0.1080830520614228,-0.4384519028208025,24.174000903729215,120.72453018164656,28,19,165,0,2,0,0,0,23,1,42,4,0
15,PU-16,高雄市,前鎮區,一心二路,-0.4318485630304758,,5,5,其他,鋼筋混凝土造,公寓(5樓含以下無電梯),41.583333333333336,-0.8101675467314996,-0.8193256863726953,0.0,178964,2501477,,-0.1503569213282769,-1.6420771089734696,-0.4384519028208025,22.611932347812118,120.30902026976143,96,47,215,2,3,0,2,0,47,3,124,39,1
16,PU-17,台北市,信義區,松隆路,0.4559512171730239,,2,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),41.41666666666666,-0.4355686221275069,0.7671871662717114,1.0,307786,2771302,,0.0357855575230612,0.9105982070892914,-0.4384519028208025,25.048772601776502,121.5726988518505,146,85,625,2,5,0,3,1,45,4,154,40,3
