,ID,縣市,鄉鎮市區,路名,土地面積,使用分區,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,橫坐標,縱坐標,備註,主建物面積,陽台面積,附屬建物面積,lat,lng,鄰近捷運站點統計,鄰近火車站點統計,鄰近公車站點統計,鄰近腳踏車站點統計,鄰近國小統計,鄰近國中統計,鄰近醫療機構統計,鄰近便利商店統計
0,PR-1,高雄市,前鎮區,鎮海路,-0.5410330351870677,,12,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),27.916666666666668,0.0435962599579688,-0.8193256863726953,0.0,179750,2499123,,0.1271594491172593,0.0352489844019942,-0.4384519028208025,22.590707181933695,120.31677034643856,0,0,0,1,5,3,8,6
1,PR-2,台北市,北投區,大同街,0.7537991510133588,,4,7,其他,鋼筋混凝土造,華廈(10層含以下有電梯),0.75,-0.2005824869081308,0.3114702319678166,1.0,300436,2781335,,-0.4640833788451982,-0.1609793988514934,-0.4384519028208025,25.139612715234875,121.50022583988314,1,0,43,1,10,4,17,12
2,PR-3,台北市,大同區,大龍街,0.4828688066107044,住,6,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),43.91666666666666,0.2119359607385975,-0.8193256863726953,0.0,302091,2773374,,0.83240747309353,2.461655601675554,-0.4384519028208025,25.067685369767762,121.5163377859422,0,0,32,3,19,5,28,18
3,PR-4,新北市,蘆洲區,民族路,0.3909404319686256,,4,4,住家用,加強磚造,公寓(5樓含以下無電梯),45.41666666666666,-0.6854927512728087,-0.8193256863726953,0.0,298394,2775413,,0.0524761445325278,-1.6420771089734696,-0.4384519028208025,25.086216321905678,121.47976506589367,0,0,27,0,1,2,43,24
4,PR-5,新北市,新莊區,龍安路,-0.7115992246863702,,3,8,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),27.25,-0.8980718956032956,-0.8193256863726953,0.0,292572,2767887,,-0.9681956847921354,-0.3333191093610782,-0.0220986841647917,25.018446425635588,121.42181605333268,0,0,10,1,9,2,15,11
5,PR-6,台中市,北區,德化街,1.5915129880131744,,3,25,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),2.833333333333333,1.9596812500719505,1.9057071004478825,2.0,216638,2672961,,1.436380409792021,1.3201183112704826,1.1500957622052088,24.161616462722613,120.67168074221982,0,0,6,0,4,2,36,9
6,PR-7,高雄市,鼓山區,葆禎路,-0.6400272770565374,,13,13,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),9.5,-0.1856444929822048,-0.2415693018653845,1.0,176287,2507053,,-0.5036881615795252,-0.5926818420091662,0.0569016701442977,22.66217185339113,120.28272081398688,0,1,17,2,3,2,12,5
7,PR-8,新北市,蘆洲區,和平路,0.1891546454340132,,2,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),34.666666666666664,-0.5964393259451725,-0.8193256863726953,0.0,296993,2774882,,-0.0632263993127569,-0.0722500429455687,-0.4384519028208025,25.081466718675625,121.46585815204233,0,0,27,0,16,2,44,27
8,PR-9,台北市,松山區,民生東路五段,-1.0534526105449131,,10,15,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),39.333333333333336,-0.3591550378141156,-0.8193256863726953,0.0,306692,2772439,,-0.0810485515432041,-0.4135167964298948,-0.4384519028208025,25.05907870552745,121.561903775496,0,0,30,1,3,5,45,19
9,PR-10,高雄市,三民區,皓東路,-1.160522129245687,,5,18,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),27.916666666666668,-0.3878819492101272,-0.8193256863726953,0.0,181580,2505608,,0.0038188400303543,0.040367985704259,-0.4384519028208025,22.649345049353517,120.33428556899929,0,0,11,0,10,3,16,7
