,ID,縣市,鄉鎮市區,路名,土地面積,使用分區,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,橫坐標,縱坐標,備註,主建物面積,陽台面積,附屬建物面積,單價,lat,lng,鄰近ATM統計,鄰近便利商店統計,鄰近公車站點統計,鄰近國中統計,鄰近國小統計,鄰近大學統計,鄰近捷運站點統計,鄰近火車站點統計,鄰近腳踏車站點統計,鄰近郵局據點統計,鄰近醫療機構統計,鄰近金融機構統計,鄰近高中統計
0,TR-1,台北市,大安區,敦化南路二段,-0.2567159967515666,,11,11,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),32.583333333333336,-0.1741537284238003,-0.8193256863726953,0.0,305266,2768378,,0.3939259499634779,0.183700022167676,-0.4384519028208025,4.627714497782282,25.022469131571864,121.54760763932174,116,56,626,6,9,8,2,0,76,2,157,38,3
1,TR-2,台北市,萬華區,水源路,0.100134331793684,,7,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),24.166666666666668,0.314203765308399,-0.8193256863726953,0.0,300677,2767990,,-0.3161312262019611,0.6085771302556623,-0.4384519028208025,1.8872581450501995,25.019126798051545,121.50212435093808,46,31,293,0,8,0,0,0,34,3,62,4,0
2,TR-3,高雄市,鳳山區,北忠街,0.1819205432726367,,10,15,集合住宅,其他,住宅大樓(11層含以上有電梯),6.166666666666667,0.4233660286132435,0.1616243247560272,1.0,184815,2504666,,-0.0988707037736512,-0.3606204496398243,1.5258812313511467,1.4890721792686148,22.640965868511994,120.3657990855171,18,15,74,0,1,0,0,0,10,1,25,2,0
3,TR-4,新北市,新莊區,福前街,0.0855940267849369,,9,14,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),8.833333333333334,0.1642492878212176,0.5246530690320114,1.0,296653,2772355,,-0.0711473558596224,0.3150877222591419,0.2319835364509276,2.051217072136734,25.058663498747766,121.46240203369284,64,44,303,1,4,0,3,0,31,1,25,15,0
4,TR-5,新北市,板橋區,文化路一段,-0.9381155465168516,,41,43,住家用,鋼骨造,住宅大樓(11層含以上有電梯),11.0,0.9858389537471534,0.5323770848676707,1.0,297377,2768472,,0.7919540164434673,1.7194004128471445,-0.4384519028208025,3.269197673350993,25.02358514872842,121.46944431389109,135,98,414,4,1,7,3,0,61,4,195,30,1
5,TR-6,台北市,萬華區,國興路,0.2605102910058646,,2,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),39.333333333333336,-0.411438016554857,-0.8193256863726953,0.0,301365,2768583,,-0.3712950307247742,-0.6182768485204907,-0.4384519028208025,2.238598703092774,25.02445722307424,121.50896314594308,48,37,554,2,6,0,0,0,35,3,78,7,1
6,TR-7,新北市,樹林區,信義街,0.8564224607445157,,2,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),46.0,-0.8687704459793637,-0.8193256863726953,0.0,292687,2763850,,-0.2454083998906624,-1.6420771089734696,-0.4384519028208025,1.348535956051585,24.981996606034595,121.42283072977939,57,40,257,2,5,0,0,0,25,3,54,17,1
7,TR-8,桃園市,平鎮區,中庸路,-0.618421104820399,,7,13,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),17.0,-0.4683173011189603,-0.8193256863726953,0.0,271007,2756216,,-0.4451296613937701,-0.3418507781981864,-0.1907751163382525,1.2079997328345549,24.9135290479792,121.2079681278111,24,17,119,1,2,0,0,0,3,1,12,2,0
8,TR-9,新北市,永和區,民樂街,0.7361585165068786,,5,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),42.833333333333336,-0.4229287811132617,-0.8193256863726953,0.0,303269,2765580,,-0.1093376820677236,1.9139224623332105,-0.4384519028208025,2.074639776006239,24.997280395660074,121.52771292303204,39,33,314,0,2,0,1,0,25,2,68,3,0
9,TR-10,桃園市,中壢區,龍仁路,-0.3265094607935527,,15,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.333333333333333,-0.5183021269480205,1.1147678788763766,1.0,273749,2758835,,-0.7778098363621193,-0.5039524861032414,-0.1630182350945183,1.254845140573565,24.937134096466693,121.23515845253975,13,11,76,1,4,0,0,0,5,1,4,0,0
10,TR-11,新北市,泰山區,泰林路二段,-0.3333109588389669,,5,13,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),28.75,-0.3039993679337732,1.4901550484894155,1.0,292757,2772935,,-0.0063652469584726,0.0147729791929347,-0.3231540884237535,1.348535956051585,25.064014985325695,121.42380564434032,20,11,377,1,2,4,0,0,7,1,16,4,1
11,TR-12,台中市,南區,五權南路,-0.8230188181087694,,8,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),29.5,-0.3855837962984463,-0.8193256863726953,0.0,216486,2667851,,-0.353755769799572,0.0949706662617512,-0.4384519028208025,1.114308917356535,24.115473694362674,120.6703032492056,30,19,117,1,1,0,0,0,38,1,56,4,2
12,TR-13,台北市,士林區,中山北路七段,-0.136019448397967,,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),33.916666666666664,-0.2907849886916075,-0.8193256863726953,0.0,303912,2779315,,-0.0915155298372764,0.7416711641145498,-0.4384519028208025,2.543093853396339,25.12125609573777,121.53462038129346,42,25,390,1,2,0,0,0,9,1,62,12,0
13,TR-14,台中市,南屯區,向上路二段,0.1009514729016135,,5,25,住家用,鋼骨造,住宅大樓(11層含以上有電梯),7.166666666666667,2.1113593422428925,1.34339874761189,2.0,213748,2671323,,1.7291729107207985,0.6000454614185544,1.0732305526071753,2.051217072136734,24.14676274444364,120.64328140190801,67,40,259,2,7,0,0,0,40,2,178,27,1
14,TR-15,新北市,新店區,北宜路二段,-1.1749182328824468,,17,18,住家用,鋼骨造,住宅大樓(11層含以上有電梯),21.166666666666668,-0.9561002566232392,-0.2987270190492629,1.0,305635,2760725,,-0.7959148798978117,-0.4374054691737978,-0.011422960609509,1.8638354411806943,24.95336450472403,121.55095574723403,9,8,168,0,1,0,0,0,6,1,2,1,0
15,TR-16,台北市,文山區,新光路一段,1.1998139945709263,,3,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),26.58333333333333,-0.309170211985055,-0.8193256863726953,0.0,307965,2765089,,-0.1721395518321568,0.4874274327687266,0.9301758569663924,2.472825741787824,24.99267539763147,121.574211796403,42,19,894,2,3,4,3,0,15,3,21,10,2
16,TR-17,台中市,西屯區,工業區一路,-0.1178020084035368,,10,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),30.33333333333333,0.0872611652799064,-0.8193256863726953,0.0,210831,2675172,,0.4584251675593824,0.3236193910962499,-0.4384519028208025,1.09088621348703,24.181446276056146,120.614474377743,50,31,290,3,1,0,0,0,31,1,67,11,1
17,TR-18,新北市,新莊區,天祥街,-1.078615749956745,,13,18,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),5.083333333333333,-0.7061761274779373,-0.8193256863726953,0.0,292103,2768931,,-0.928308010752563,-1.1608909865605694,0.0910639855212011,2.0043716643977243,25.027884887584094,121.41720101939109,67,49,413,2,2,0,3,0,28,3,47,14,1
18,TR-19,新北市,深坑區,文化街,-0.592368723614644,,4,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),27.5,-0.5246220474551434,-0.8193256863726953,0.0,312552,2766008,,-0.4451296613937701,-0.2309390833157804,-0.0199635394537349,1.676453810224655,25.000789708694285,121.61969103752479,10,10,212,1,2,0,0,0,4,0,9,1,0
19,TR-20,新北市,土城區,裕民路,-0.4598476627580631,,10,16,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),28.25,-0.2172440955178179,0.944839530491874,1.0,295953,2763944,,0.2411646451310728,-0.0517740377365089,-0.2975323518910757,2.0277943682672293,24.982749832207073,121.4551840311462,66,46,293,0,3,0,1,0,36,3,81,8,1
20,TR-21,新北市,三峽區,大觀路,0.2740652199726967,,9,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),15.166666666666666,0.664672084339742,0.3840759808230132,1.0,287719,2760030,,0.5911011897193791,0.0608439909133187,0.2874972989383961,1.8638354411806943,24.947640417492064,121.37351759597342,34,24,377,2,3,5,0,0,29,1,34,8,1
21,TR-22,新北市,樹林區,保安街二段,0.6884759295029875,,2,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),32.166666666666664,-0.147150431711549,-0.8193256863726953,0.0,291632,2766676,,0.5251875155972483,0.7928611771371986,-0.4384519028208025,1.2079997328345549,25.007539489165122,121.41246592293636,28,18,111,1,1,0,0,0,10,0,2,5,0
22,TR-23,台北市,大安區,永康街,0.3054049848179962,,2,9,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),7.833333333333333,0.3641885911374593,1.3279507159405717,3.0,303452,2769440,,-0.2884078782879319,-0.3725647860117757,1.423394285220436,5.564622652562481,25.032121947184674,121.52967524363717,135,61,661,4,9,4,5,0,38,7,206,59,1
23,TR-24,高雄市,三民區,市中一路,0.3547699211617421,,5,5,其他,鋼筋混凝土造,公寓(5樓含以下無電梯),42.66666666666666,-1.0060850824522998,-0.8193256863726953,0.0,176668,2504317,,-0.6114697488779446,-1.6420771089734696,0.6376610315516564,0.6973847884793465,22.6374811506971,120.2865556528731,28,21,165,2,4,0,2,2,34,5,51,9,0
24,TR-25,桃園市,桃園區,同安街,-0.4050992085267808,,3,9,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),19.25,-0.3195119000876193,0.4226960600013094,1.0,280593,2767496,,-0.4445638787832794,-0.111495719596266,0.0569016701442973,1.348535956051585,25.01520573852204,121.30311745378607,77,52,210,4,13,0,0,0,19,1,143,30,0
25,TR-26,新北市,三重區,仁愛街,0.5837857334400087,,3,4,其他,鋼筋混凝土造,公寓(5樓含以下無電梯),40.5,-0.5418581942927503,-0.8193256863726953,0.0,299635,2774869,,-0.1806262909895126,1.1767862748070657,-0.4384519028208025,1.6296084024856448,25.08126483271136,121.49204801675188,69,58,500,3,2,0,1,0,39,2,76,12,2
26,TR-27,台北市,大安區,光復南路,-0.12960248734452,,6,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),41.25,0.132649685285605,-0.8193256863726953,0.0,306167,2769827,,0.4343794066135409,1.7501144206607335,-0.4384519028208025,3.8313425662191127,25.035517434938743,121.55659394937808,253,101,753,5,22,0,4,0,52,7,357,106,3
27,TR-28,新北市,板橋區,文化路二段,-1.0768132328069002,,4,22,住家用,鋼骨造,住宅大樓(11層含以上有電梯),6.583333333333333,-0.4798080656773649,-0.8193256863726953,0.0,297388,2768742,,-0.7464089014799027,-0.1831617378279745,-0.4384519028208025,2.8944344114389136,25.026022377476146,121.46956258138283,132,102,375,1,3,7,3,0,65,3,191,26,0
28,TR-29,桃園市,八德區,建德路,0.9324406173439654,,20,23,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.0,0.6060691850918781,0.580265983048758,1.0,278407,2757642,,0.4018469065103434,0.4242930833741261,-0.4384519028208025,1.8169900334416844,24.92628335718044,121.2812563094296,14,15,172,1,1,0,0,0,5,1,5,1,0
29,TR-30,新北市,樹林區,東榮街,-0.6384170284026762,,5,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),28.666666666666668,-0.6872163659565695,-0.8193256863726953,0.0,291938,2763890,,-0.710764597019008,-0.9356549292609142,-0.1523425115392358,1.5827629947466348,24.982378623791565,121.41541297252014,45,33,269,2,5,0,0,1,30,2,32,10,1
