ID,單價
TR-1,4.627714497782282
TR-2,1.8872581450501995
TR-3,1.4890721792686148
TR-4,2.051217072136734
TR-5,3.269197673350993
TR-6,2.238598703092774
TR-7,1.348535956051585
TR-8,1.2079997328345549
TR-9,2.074639776006239
TR-10,1.254845140573565
TR-11,1.348535956051585
TR-12,1.114308917356535
TR-13,2.543093853396339
TR-14,2.051217072136734
TR-15,1.8638354411806943
TR-16,2.472825741787824
TR-17,1.09088621348703
TR-18,2.0043716643977243
TR-19,1.676453810224655
TR-20,2.0277943682672293
TR-21,1.8638354411806943
TR-22,1.2079997328345549
TR-23,5.564622652562481
TR-24,0.6973847884793465
TR-25,1.348535956051585
TR-26,1.6296084024856448
TR-27,3.8313425662191127
TR-28,2.8944344114389136
TR-29,1.8169900334416844
TR-30,1.5827629947466348
TR-31,1.2314224367040598
TR-32,2.2151759992232694
TR-33,0.9878263164612082
TR-34,3.8313425662191127
TR-35,1.5359175870076247
TR-36,2.379134926309804
TR-37,1.4656494753991098
TR-38,1.98094896052822
TR-39,0.9737726941395052
TR-40,3.362888488829013
TR-41,1.2314224367040598
TR-42,1.7232992179636646
TR-43,1.8638354411806943
TR-44,1.058094428069723
TR-45,1.395381363790595
TR-46,1.09088621348703
TR-47,1.6530311063551495
TR-48,1.6296084024856448
TR-49,2.285444110831784
TR-50,2.0418479905889324
TR-51,0.9503499902700004
TR-52,2.2151759992232694
TR-53,1.114308917356535
TR-54,1.9575262566587144
TR-55,1.7232992179636646
TR-56,3.034970634655944
TR-57,0.7161229515749503
TR-58,1.4375422307557038
TR-59,2.472825741787824
TR-60,4.393487459087233
TR-61,2.1449078876147545
TR-62,1.9106808489197045
TR-63,2.425980334048814
TR-64,2.2151759992232694
TR-65,1.0440408057480202
TR-66,1.0440408057480202
TR-67,0.7863910631834654
TR-68,1.27826784444307
TR-69,1.676453810224655
TR-70,1.7092455956419617
TR-71,3.222352265611983
TR-72,1.0674635096175251
TR-73,2.707052780482874
TR-74,1.7935673295721797
TR-75,1.4422267715296049
TR-76,2.051217072136734
TR-77,2.1449078876147545
TR-78,1.9575262566587144
TR-79,3.362888488829013
TR-80,1.4422267715296049
TR-81,3.222352265611983
TR-82,2.1917532953537644
TR-83,1.0206181018785152
TR-84,1.37195865992109
TR-85,2.332289518570794
TR-86,3.0818160423949537
TR-87,2.8007435959608937
TR-88,2.051217072136734
TR-89,2.472825741787824
TR-90,1.4188040676601
TR-91,1.2314224367040598
TR-92,1.7701446257026745
TR-93,2.26202140696228
TR-94,1.4656494753991098
TR-95,1.9575262566587144
TR-96,2.472825741787824
TR-97,1.09088621348703
TR-98,1.7701446257026745
TR-99,2.26202140696228
TR-100,2.1917532953537644
TR-101,0.6927002477054454
TR-102,4.487178274565252
TR-103,2.051217072136734
TR-104,1.395381363790595
TR-105,3.128661450133964
TR-106,2.285444110831784
TR-107,3.667383639132578
TR-108,1.2314224367040598
TR-109,1.32511325218208
TR-110,2.5196711495268342
TR-111,2.707052780482874
TR-112,3.222352265611983
TR-113,1.2314224367040598
TR-114,1.32511325218208
TR-115,2.1917532953537644
TR-116,3.362888488829013
TR-117,1.6530311063551495
TR-118,0.9831417756873072
TR-119,1.7232992179636646
TR-120,2.847589003699904
TR-121,4.393487459087233
TR-122,1.311059629860377
TR-123,2.0277943682672293
TR-124,0.7301765738966535
TR-125,1.6296084024856448
TR-126,2.308866814701289
TR-127,1.8544663596328923
TR-128,1.0674635096175251
TR-129,2.988125226916934
TR-130,4.206105828131193
TR-131,1.7467219218331695
